X,F,Y,R,Err
88.000000,7744.000000,176.000231,176.000000,0.001739
89.000000,7921.000000,178.000209,178.000000,0.001771
90.000000,8100.000000,180.000158,180.000000,0.001681
91.000000,8281.000000,182.000137,182.000000,0.001714
92.000000,8464.000000,184.000358,184.000000,0.001989
93.000000,8649.000000,186.000094,186.000000,0.001779
94.000000,8836.000000,188.000316,188.000000,0.002055
95.000000,9025.000000,190.000052,190.000000,0.001846
96.000000,9216.000000,192.000243,192.000000,0.002001
97.000000,9409.000000,194.000434,194.000000,0.002156
98.000000,9604.000000,196.000171,196.000000,0.001949
99.000000,9801.000000,198.000392,198.000000,0.002226
