4, 0.000001, 0.000001, 0.000015
5, 0.000002, 0.000001, 0.000002
6, 0.000002, 0.000001, 0.000002
7, 0.000003, 0.000002, 0.000001
8, 0.000004, 0.000001, 0.000001
9, 0.000005, 0.000002, 0.000001
10, 0.000006, 0.000002, 0.000002
11, 0.000009, 0.000003, 0.000003
12, 0.000012, 0.000003, 0.000003
13, 0.000015, 0.000003, 0.000003
14, 0.000018, 0.000004, 0.000003
15, 0.000022, 0.000005, 0.000002
16, 0.000027, 0.000005, 0.000004
17, 0.000031, 0.000006, 0.000003
18, 0.000037, 0.000007, 0.000003
19, 0.000042, 0.000007, 0.000004
